INSTANCE,SET, MEAN_P1, MEAN_P2, MEAN_C, K, MEAN_D, N, DOM/MINC_CHECKS, DOM/MINC_TIME, DEG/MINC_CHECKS, DEG/MINC_TIME, DOMDEG/MINC_CHECKS, DOMDEG/MINC_TIME, K/MINC_CHECKS, K/MINC_TIME, WDEG/MINC_CHECKS, WDEG/MINC_TIME, DOMWDEG/MINC_CHECKS, DOMWDEG/MINC_TIME, MAXP2/MINC_CHECKS, MAXP2/MINC_TIME, MAXC/MINC_CHECKS, MAXC/MINC_TIME
rand-2-30-15-306-230-fcd-21_ext.xml,Rand-2-30-15-306-230-fcd,0.50115,0.29388,0.48878,0.97256,15,30,468709,608,6109462,8361,4773087,6162,127313,171,13253662,18392,7393743,9453,29791010,41215,10560183,14913
rand-2-30-15-306-230-fcd-22_ext.xml,Rand-2-30-15-306-230-fcd,0.51264,0.28919,0.51845,0.96679,15,30,46701776,60013,609764,842,125960,171,1998656,2605,420543,577,340260,452,7820542,10608,15222546,21231
rand-2-30-15-306-230-fcd-23_ext.xml,Rand-2-30-15-306-230-fcd,0.50805,0.29052,0.4809,0.96862,15,30,1531240,1965,37529,62,616996,780,292892,390,246186,358,802508,1045,5682448,7784,4493710,6380
rand-2-30-15-306-230-fcd-24_ext.xml,Rand-2-30-15-306-230-fcd,0.47816,0.30385,0.46111,0.96676,15,30,171609,218,16044150,21918,5416869,6942,3462205,4555,15528474,21372,7526156,9703,29996536,42042,33490907,47221
rand-2-30-15-306-230-fcd-25_ext.xml,Rand-2-30-15-306-230-fcd,0.50345,0.2955,0.50501,0.97643,15,30,16660661,21216,2140288,2932,1886960,2464,300120,390,21106,15,21348,31,26031899,35396,15634549,21699
rand-2-30-15-306-230-fcd-26_ext.xml,Rand-2-30-15-306-230-fcd,0.51034,0.29063,0.52017,0.96792,15,30,21366220,27190,4996092,6973,1585231,2059,1525743,2012,867926,1201,1509612,1965,9312315,12792,11430385,16052
rand-2-30-15-306-230-fcd-27_ext.xml,Rand-2-30-15-306-230-fcd,0.50115,0.29568,0.50611,0.96989,15,30,20789944,26754,15618590,21294,3577881,4617,1969104,2605,6435140,8938,4514321,5818,1058668,1482,42713934,60013
rand-2-30-15-306-230-fcd-28_ext.xml,Rand-2-30-15-306-230-fcd,0.48736,0.2991,0.48094,0.97072,15,30,6672733,8486,4772707,6552,5057781,6474,234236,312,4973464,6895,4117327,5335,503132,702,20637992,29499
rand-2-30-15-306-230-fcd-29_ext.xml,Rand-2-30-15-306-230-fcd,0.51724,0.28545,0.53683,0.96706,15,30,6058583,7753,479678,655,772925,998,129361,171,320159,436,1384787,1778,36922576,50216,3936736,5444
rand-2-30-15-306-230-fcd-2_ext.xml,Rand-2-30-15-306-230-fcd,0.50805,0.28937,0.50223,0.96591,15,30,14751788,18704,4045163,5553,1446671,1872,1818977,2371,4213446,5787,2099366,2714,6735431,9188,25815147,35958
rand-2-30-15-306-230-fcd-30_ext.xml,Rand-2-30-15-306-230-fcd,0.49655,0.29708,0.50336,0.96874,15,30,7220230,9219,9309383,12963,4097821,5288,26402,46,8577898,11840,4273013,5538,7300269,10030,104139,156
rand-2-30-15-306-230-fcd-31_ext.xml,Rand-2-30-15-306-230-fcd,0.51034,0.29033,0.52974,0.96654,15,30,31400894,40107,3059402,4149,3902344,5007,19485,31,4249059,5803,3471839,4524,5221825,7082,32804617,46379
rand-2-30-15-306-230-fcd-32_ext.xml,Rand-2-30-15-306-230-fcd,0.51034,0.28979,0.51013,0.96889,15,30,26779944,33930,278796,390,2588023,3354,6131002,8112,1287868,1794,1344017,1747,7496457,10342,3977921,5491
rand-2-30-15-306-230-fcd-33_ext.xml,Rand-2-30-15-306-230-fcd,0.52644,0.28279,0.52408,0.96759,15,30,91639,124,7859321,10935,4670192,5990,61019,93,7801833,10810,4438562,5725,289231,405,2111948,2964
rand-2-30-15-306-230-fcd-34_ext.xml,Rand-2-30-15-306-230-fcd,0.49885,0.29372,0.4893,0.97007,15,30,1254824,1622,888973,1216,32479,46,299897,405,750244,1029,43803,62,224918,312,1810992,2558
rand-2-30-15-306-230-fcd-35_ext.xml,Rand-2-30-15-306-230-fcd,0.52184,0.28482,0.52776,0.96685,15,30,2427391,3104,13937859,18860,7365922,9531,4461298,5865,20536260,28423,7562299,9734,27986589,38033,42897004,60013
rand-2-30-15-306-230-fcd-36_ext.xml,Rand-2-30-15-306-230-fcd,0.51264,0.28847,0.50504,0.96575,15,30,6007984,7644,899867,1216,217190,280,601186,795,2186655,2995,952501,1232,2647831,3619,8306710,11512
rand-2-30-15-306-230-fcd-37_ext.xml,Rand-2-30-15-306-230-fcd,0.52414,0.28162,0.51517,0.96859,15,30,740411,936,669519,889,490704,624,1125543,1482,1119355,1528,525812,686,21305,31,22908854,31621
rand-2-30-15-306-230-fcd-38_ext.xml,Rand-2-30-15-306-230-fcd,0.51264,0.28863,0.49381,0.96422,15,30,47149596,60013,41342267,56004,11791659,15054,2284297,3010,31828967,44210,12995747,16801,43877373,59451,12638224,17612
rand-2-30-15-306-230-fcd-39_ext.xml,Rand-2-30-15-306-230-fcd,0.50805,0.29102,0.53056,0.96724,15,30,5233799,6754,2189935,3010,2332530,3057,1160551,1544,2909655,3993,2083550,2730,43723046,60013,6231320,8736
rand-2-30-15-306-230-fcd-3_ext.xml,Rand-2-30-15-306-230-fcd,0.51264,0.28951,0.52586,0.97356,15,30,20547242,26114,1065420,1435,1857858,2402,3438770,4508,159980,218,145220,187,25378470,34679,11273244,15615
rand-2-30-15-306-230-fcd-40_ext.xml,Rand-2-30-15-306-230-fcd,0.51264,0.29012,0.5307,0.96742,15,30,4876156,6255,959162,1341,488555,639,414429,546,454496,639,278171,374,8684162,11684,1036224,1435
rand-2-30-15-306-230-fcd-41_ext.xml,Rand-2-30-15-306-230-fcd,0.51264,0.28692,0.50059,0.9685,15,30,27523463,34757,52969,78,208336,265,339364,436,1943235,2652,417527,546,21111000,28610,231235,327
rand-2-30-15-306-230-fcd-42_ext.xml,Rand-2-30-15-306-230-fcd,0.49655,0.29745,0.48537,0.97001,15,30,4329086,5538,4920767,7004,4286876,5506,808362,1076,8570410,11887,4166249,5397,6188634,8626,26782,46
rand-2-30-15-306-230-fcd-43_ext.xml,Rand-2-30-15-306-230-fcd,0.52184,0.28456,0.51579,0.9665,15,30,6803473,8658,16265799,22323,6477041,8252,4188013,5491,14835578,20280,6391703,8127,13556164,18454,37210392,51324
rand-2-30-15-306-230-fcd-44_ext.xml,Rand-2-30-15-306-230-fcd,0.52644,0.28369,0.52784,0.96564,15,30,15769695,20124,77938,109,101672,140,267790,358,2373541,3322,40494,62,4094151,5538,250052,343
rand-2-30-15-306-230-fcd-45_ext.xml,Rand-2-30-15-306-230-fcd,0.51954,0.2871,0.5242,0.96966,15,30,19638478,25272,33627,46,20289,15,2688313,3541,19075,31,22736,31,8003676,10732,43156188,60013
rand-2-30-15-306-230-fcd-46_ext.xml,Rand-2-30-15-306-230-fcd,0.52874,0.28068,0.54,0.96195,15,30,1666539,2106,78979,109,231838,312,353996,452,401692,561,315601,405,10067163,13525,19159,31
rand-2-30-15-306-230-fcd-47_ext.xml,Rand-2-30-15-306-230-fcd,0.52414,0.28485,0.51349,0.96967,15,30,315345,405,1072868,1482,2031913,2574,1367034,1778,722970,982,1700355,2215,12354753,16848,8482050,11887
rand-2-30-15-306-230-fcd-48_ext.xml,Rand-2-30-15-306-230-fcd,0.51264,0.29018,0.51624,0.96808,15,30,14377999,18376,3824214,5304,5785620,7534,55415,78,8258628,11419,3001114,3946,4630396,6349,14378150,20061
rand-2-30-15-306-230-fcd-49_ext.xml,Rand-2-30-15-306-230-fcd,0.51264,0.28901,0.50613,0.96776,15,30,5612434,7160,5747536,7706,5238105,6739,2308749,3088,9014790,12433,5953556,7659,7798422,10842,24411770,34211
rand-2-30-15-306-230-fcd-4_ext.xml,Rand-2-30-15-306-230-fcd,0.51494,0.2853,0.51552,0.96188,15,30,6727426,8517,35418,31,3417821,4368,24102,31,189862,249,32073,46,1412695,1903,955757,1310
rand-2-30-15-306-230-fcd-50_ext.xml,Rand-2-30-15-306-230-fcd,0.51724,0.28608,0.51124,0.97073,15,30,2159985,2761,201786,280,392084,514,80058,93,535669,748,20927,31,84468,124,875482,1170
rand-2-30-15-306-230-fcd-5_ext.xml,Rand-2-30-15-306-230-fcd,0.50575,0.29075,0.49645,0.96702,15,30,10076104,12760,20488145,27736,13061289,16629,2541197,3354,24042236,32994,13835983,17674,16404216,22432,43411099,60013
rand-2-30-15-306-230-fcd-6_ext.xml,Rand-2-30-15-306-230-fcd,0.51264,0.28867,0.53479,0.96528,15,30,2921714,3728,15907157,21886,3157157,4071,4072296,5397,5448446,7550,3590046,4648,19704453,27128,43288547,60013
rand-2-30-15-306-230-fcd-7_ext.xml,Rand-2-30-15-306-230-fcd,0.51494,0.28778,0.49543,0.96858,15,30,23718363,30014,6426455,8580,3288182,4180,2291518,2979,12440469,16941,4732157,6037,4480145,6146,29976703,41527
rand-2-30-15-306-230-fcd-8_ext.xml,Rand-2-30-15-306-230-fcd,0.50115,0.29256,0.52284,0.96595,15,30,1499757,1918,127705,187,733411,967,21935,15,49232,78,592783,780,28209377,39249,120501,171
rand-2-30-15-306-230-fcd-9_ext.xml,Rand-2-30-15-306-230-fcd,0.52184,0.28554,0.50518,0.96787,15,30,15269044,19328,14413495,19593,17598731,22807,5032618,6661,21589762,30030,12797593,16723,13516841,18735,13787860,19297
