INSTANCE,SET, MEAN_P1, MEAN_P2, MEAN_C, K, MEAN_D, N, DOM/MINC_CHECKS, DOM/MINC_TIME, DEG/MINC_CHECKS, DEG/MINC_TIME, DOMDEG/MINC_CHECKS, DOMDEG/MINC_TIME, K/MINC_CHECKS, K/MINC_TIME, WDEG/MINC_CHECKS, WDEG/MINC_TIME, DOMWDEG/MINC_CHECKS, DOMWDEG/MINC_TIME, MAXP2/MINC_CHECKS, MAXP2/MINC_TIME, MAXC/MINC_CHECKS, MAXC/MINC_TIME
rand-2-30-15-306-230-16_ext.xml,Rand-2-30-15-306-230,0.52414,0.28489,0.51067,0.97073,15,30,46297460,60013,42852883,60013,28135947,36691,19751751,26535,43108460,60013,33579104,44085,43426113,60013,42269571,60013
rand-2-30-15-306-230-17_ext.xml,Rand-2-30-15-306-230,0.50805,0.28959,0.50513,0.9682,15,30,612708,795,305360,436,23241,31,1943844,2589,923117,1310,21991,31,6671701,9344,42791428,60013
rand-2-30-15-306-230-18_ext.xml,Rand-2-30-15-306-230,0.50345,0.2908,0.50844,0.96327,15,30,1713115,2246,1680704,2355,1007614,1341,2650800,3572,1176290,1638,2102602,2808,7236839,10108,3666316,5163
rand-2-30-15-306-230-19_ext.xml,Rand-2-30-15-306-230,0.51264,0.28823,0.50127,0.96444,15,30,24108892,31481,15345495,21216,13049323,17097,9853998,13213,27101222,37845,15168996,20014,42880581,60013,42370878,60013
rand-2-30-15-306-230-1_ext.xml,Rand-2-30-15-306-230,0.51724,0.28774,0.52896,0.97098,15,30,21215509,27799,27575825,38828,12688921,16707,1063257,1419,19641499,27690,13338400,17674,20395862,28438,7788047,11029
rand-2-30-15-306-230-20_ext.xml,Rand-2-30-15-306-230,0.51264,0.28719,0.50926,0.96874,15,30,14700214,18969,19631674,27736,9802627,12760,7856153,10420,28160269,39530,14289060,18798,35359922,49545,42546760,60013
rand-2-30-15-306-230-21_ext.xml,Rand-2-30-15-306-230,0.50115,0.29274,0.48878,0.96673,15,30,19618094,25599,8445550,11762,8100651,10608,5738974,7690,18959173,26613,8211795,10779,19246393,26660,42340871,60013
rand-2-30-15-306-230-22_ext.xml,Rand-2-30-15-306-230,0.51264,0.29052,0.51845,0.97298,15,30,45881172,60013,10844259,15038,6764497,8923,5752782,7722,11593457,16380,7022532,9250,15871673,22058,35926844,51059
rand-2-30-15-306-230-23_ext.xml,Rand-2-30-15-306-230,0.50805,0.29038,0.4809,0.96794,15,30,22708952,29530,1998324,2839,2168145,2823,10284647,13774,134334,187,2267342,3026,6251088,8689,3366388,4851
rand-2-30-15-306-230-24_ext.xml,Rand-2-30-15-306-230,0.47816,0.30368,0.46111,0.96441,15,30,6502087,8564,4829869,6739,1920134,2542,369418,499,2292157,3229,1279712,1700,2576892,3666,22158978,31949
rand-2-30-15-306-230-25_ext.xml,Rand-2-30-15-306-230,0.50345,0.2938,0.50501,0.9685,15,30,19946840,26114,21759107,30030,16480297,21699,5854744,7846,42608505,60013,19724151,26052,43475393,60013,42163490,60013
rand-2-30-15-306-230-26_ext.xml,Rand-2-30-15-306-230,0.51034,0.29021,0.52017,0.96638,15,30,19554319,25490,42219176,60013,16483446,21559,9804690,13072,41134189,57798,18684367,24554,42625912,59155,41964206,60013
rand-2-30-15-306-230-27_ext.xml,Rand-2-30-15-306-230,0.50115,0.29539,0.50611,0.96894,15,30,45693691,60013,32004323,44881,7940719,10452,6063012,8158,19766680,27970,10398002,13806,29050770,40591,41838577,60013
rand-2-30-15-306-230-28_ext.xml,Rand-2-30-15-306-230,0.48736,0.29832,0.48094,0.9659,15,30,1150448,1482,650731,904,944313,1232,451377,639,25381,31,493444,670,13687886,19016,38431215,55364
rand-2-30-15-306-230-29_ext.xml,Rand-2-30-15-306-230,0.51724,0.28577,0.53683,0.96848,15,30,46182949,60013,17647931,24367,20147848,26488,10809980,14461,30241229,42011,19091683,25162,43253582,60013,42749109,60013
rand-2-30-15-306-230-2_ext.xml,Rand-2-30-15-306-230,0.50805,0.28941,0.50223,0.96726,15,30,46223669,60013,24142771,33384,9679291,12651,8711495,11590,23052910,32229,13163925,17300,34010496,47315,42366956,60013
rand-2-30-15-306-230-30_ext.xml,Rand-2-30-15-306-230,0.49655,0.29675,0.50336,0.96679,15,30,18573659,24258,3947113,5522,1967839,2605,2461568,3338,3742200,5272,2435831,3244,92029,124,41499021,59061
rand-2-30-15-306-230-31_ext.xml,Rand-2-30-15-306-230,0.51034,0.29043,0.52974,0.96773,15,30,46067846,60013,19063787,26488,14761689,19453,13146206,17596,33584236,47143,17167828,22588,43634284,60013,42084162,60013
rand-2-30-15-306-230-32_ext.xml,Rand-2-30-15-306-230,0.51034,0.28853,0.51013,0.96165,15,30,19288659,25006,143295,202,1468995,1950,359216,468,35402,46,28326,31,5190981,7238,1772042,2511
rand-2-30-15-306-230-33_ext.xml,Rand-2-30-15-306-230,0.52644,0.28237,0.52408,0.96542,15,30,46394495,60013,43132748,60013,45851503,60013,23610810,31496,42861308,60013,45849948,60013,43673859,60013,42565187,60013
rand-2-30-15-306-230-34_ext.xml,Rand-2-30-15-306-230,0.49885,0.29348,0.4893,0.96946,15,30,4334796,5678,8727713,11949,6450773,8392,4474672,6068,14212971,20014,8658187,11372,6828591,9687,42126358,60013
rand-2-30-15-306-230-35_ext.xml,Rand-2-30-15-306-230,0.52184,0.2846,0.52776,0.96601,15,30,46068258,60013,25004121,34476,12697142,16676,8141534,10842,36841217,51901,12789260,16848,42142831,58453,42319929,60013
rand-2-30-15-306-230-36_ext.xml,Rand-2-30-15-306-230,0.51264,0.28873,0.50504,0.96598,15,30,24266966,31527,10162751,13821,12344452,16130,8881804,11949,20181890,28189,11869963,15568,20671285,28672,42093373,60013
rand-2-30-15-306-230-37_ext.xml,Rand-2-30-15-306-230,0.52414,0.28133,0.51517,0.96629,15,30,115532,124,2103316,2839,1491624,1934,1186897,1606,3455907,4742,2642461,3432,713187,998,18068201,25225
rand-2-30-15-306-230-38_ext.xml,Rand-2-30-15-306-230,0.51264,0.28911,0.49381,0.9672,15,30,3433274,4508,42760467,59623,13836590,18158,861653,1170,35812209,50762,16496770,21824,5864550,8174,8006812,11372
rand-2-30-15-306-230-39_ext.xml,Rand-2-30-15-306-230,0.50805,0.29092,0.53056,0.96683,15,30,9506684,12558,2886858,4040,1989572,2667,459350,624,2550120,3603,2704910,3588,1444453,2043,60024,93
rand-2-30-15-306-230-3_ext.xml,Rand-2-30-15-306-230,0.51264,0.28869,0.52586,0.96989,15,30,45729511,60013,19606610,26847,23315956,30732,6135447,8158,18864573,26442,13883682,18376,32990371,45817,42595609,60013
rand-2-30-15-306-230-40_ext.xml,Rand-2-30-15-306-230,0.51264,0.29014,0.5307,0.96768,15,30,28894108,37892,20747447,29437,20181469,26676,14639630,19780,34608697,49171,19757095,26130,43090276,60013,41887596,60013
rand-2-30-15-306-230-41_ext.xml,Rand-2-30-15-306-230,0.51264,0.28717,0.50059,0.96991,15,30,748727,982,20004797,27674,6765620,8751,4278401,5631,13855472,19359,7342768,9531,42931662,60013,32184695,47486
rand-2-30-15-306-230-42_ext.xml,Rand-2-30-15-306-230,0.49655,0.29685,0.48537,0.96669,15,30,4659205,6099,8878551,12901,8787405,11575,5792000,7753,12992034,18439,8649758,11434,19319283,27300,29946506,44397
